iter	Passed	Remaining
0	0	956
1	2	1403
2	5	1758
3	7	1941
4	10	2111
5	12	2058
6	16	2288
7	19	2473
8	20	2252
9	22	2259
10	25	2305
11	28	2369
12	32	2438
13	37	2671
14	40	2648
15	42	2616
16	45	2620
17	49	2683
18	51	2679
19	53	2622
20	56	2614
21	59	2656
22	64	2720
23	67	2746
24	72	2812
25	77	2897
26	79	2876
27	82	2871
28	86	2882
29	89	2881
30	91	2863
31	95	2875
32	98	2873
33	99	2839
34	103	2848
35	105	2828
36	108	2812
37	111	2832
38	114	2825
39	116	2802
40	121	2840
41	125	2853
42	129	2874
43	131	2864
44	135	2866
45	137	2859
46	140	2851
47	144	2866
48	147	2869
49	149	2834
50	150	2796
51	153	2789
52	156	2789
53	157	2760
54	161	2773
55	164	2766
56	166	2756
57	169	2747
58	173	2759
59	175	2752
60	179	2758
61	181	2749
62	184	2748
63	188	2754
64	192	2765
65	195	2770
66	198	2767
67	201	2759
68	205	2778
69	209	2785
70	213	2790
71	216	2787
72	218	2778
73	222	2782
74	225	2780
75	227	2766
76	229	2755
77	232	2747
78	236	2758
79	240	2770
80	243	2761
81	246	2755
82	248	2747
83	252	2756
84	255	2752
85	258	2743
86	260	2738
87	263	2734
88	268	2746
89	271	2740
90	273	2733
91	276	2726
92	278	2719
93	282	2719
94	285	2721
95	287	2708
96	289	2695
97	292	2689
98	295	2687
99	297	2680
100	301	2682
101	304	2677
102	306	2673
103	309	2667
104	311	2655
105	315	2664
106	319	2663
107	322	2661
108	325	2659
109	328	2658
110	333	2669
111	336	2664
112	337	2645
113	337	2625
114	341	2626
115	343	2620
116	347	2623
117	350	2616
118	352	2608
119	354	2603
120	356	2591
121	359	2584
122	362	2583
123	365	2581
124	367	2570
125	370	2566
126	372	2563
127	376	2564
128	379	2565
129	383	2563
130	385	2559
131	388	2555
132	391	2553
133	394	2549
134	396	2543
135	399	2538
136	402	2534
137	405	2531
138	409	2535
139	412	2531
140	414	2524
141	417	2521
142	419	2515
143	422	2511
144	425	2510
145	428	2506
146	430	2498
147	433	2493
148	438	2503
149	442	2505
150	446	2508
151	448	2500
152	451	2497
153	454	2496
154	457	2493
155	460	2489
156	463	2486
157	465	2483
158	468	2476
159	471	2476
160	475	2475
161	477	2469
162	479	2464
163	483	2463
164	486	2461
165	489	2459
166	492	2455
167	494	2446
168	496	2443
169	499	2440
170	505	2448
171	507	2444
172	511	2445
173	514	2444
174	519	2449
175	523	2453
176	527	2450
177	529	2444
178	532	2443
179	537	2447
